Name_of_coal,HGI (ASTM),Ash,V.M.,F.C,Total Sulphur,Phosphorus,Rank,Vitrinite %,Liptinite,Semi-Fusinite,Inertinite,Minerals,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,CSN/FSI,Initial Softening Temp.,Max. Fluidity ddpm,SiO2 ,Al2O3,Fe2O3 ,CaO ,MgO,Na2O ,K2O ,TiO2 ,Mn3O4 ,SO3,P2O5 ,BaO,SrO,ZnO,CRI ,CSR,C,H,N,O,S,Coal Category
Scratch Coal,79,11.22,23.25,64.53,0.3,0.004,1.15,58,0,24,19,2,13,35,17,22,2,8,3,0,0,0,0,0,0,8,433,10,52,32.3,5.3,2.1,0.9,0.42,1.4,1,0.06,1.5,1.6,0,0,0,27,55,87,5,1.8,3.8,0.6,WC
E.Soft,59,11.22,23.25,64.53,0.3,0.004,1.15,88,0,24,19,2,13,35,17,22,2,8,3,0,0,0,0,0,0,4.5,433,2,51.5,24.8,16.7,1.48,0.61,0.31,1.6,1,0.06,1.5,1.6,0,0,0,27,55,87,5,1.8,3.8,0.6,WC
Indian Coal Dhanbaad,79,18.32,25.3,56.3,0.3,0.004,1.15,58,0,24,19,2,13,35,17,22,2,8,3,0,0,0,0,0,0,6.5,433,10,52,32.3,5.3,2.1,0.9,0.42,1.4,1,0.06,1.5,1.6,0,0,0,27,55,87,5,1.8,3.8,0.6,WC
HCC/ SHCC Contaminated Coal,59,11.22,23.25,64.53,0.3,0.004,1.15,88,0,24,19,2,13,35,17,22,2,8,3,0,0,0,0,0,0,4.5,433,2,51.5,24.8,16.7,1.48,0.61,0.31,1.6,1,0.06,1.5,1.6,0,0,0,27,55,87,5,1.8,3.8,0.6,WC
North Goonyella,85,8.6,23.1,68.3,0.56,0.051,1.25,64,0,26,6,4,0,0,0,0,15,75,10,0,0,0,0,0,0,8.5,400,1000,52.5,35.5,4,1.9,0.9,0.4,0.7,1.7,0.04,0.5,1.3,0.1,0.1,0,23,68,88.5,4.8,1.95,4.1,0.61,HCC
Anglo American LV SHCC,85,10.6,20.9,68.5,0.51,0.06,1.3,55,0,33,7,5,0,0,0,0,5,32,41,16,4,2,0,0,0,7,450,100,53.1,30.1,6.3,3.85,1.02,0.65,0.52,1.47,0.07,1.01,1.29,0.1,0.1,0.02,28,62,89.2,4.84,1.92,3.49,0.57,SHCC
Carborough down (SHCC),80,8.5,20.8,68.9,0.3,0.05,1.3,45,0,43,48,3,0,0,0,0,4,32,60,4,0,0,0,0,0,6,430,30,48.43,30.2,7.51,3.8,1.07,0.23,0.41,1.8,0,0.45,1.1,0,0,0,36,59,88.6,4.56,1.76,4.8,0.32,SHCC
Moorvale (SHCC),80,10.6,19.2,70.1,0.46,0.061,1.32,50,0,48,5,2,0,0,0,0,0,24,68,8,0,0,0,0,0,7,440,20,54,29,5.5,4.3,1.2,1.4,0.8,0.1,0.5,1.6,1.6,0.1,0.2,0,30,58,89,4.7,1.7,4,0.57,SHCC
Russian Low Vol(SHCC),88,9.5,20.3,69.6,0.5,0.02,1.18,89,0,10,1,0,0,0,7,29,35,22,7,0,0,0,0,0,0,7.5,430,500,56.2,27.4,5.3,2.6,1.22,0.36,1.2,1.55,0,0,1.09,0.12,0.06,0.02,31,62,88.9,4.64,1.81,4.18,0.47,SHCC
MVF,82,9.5,31,58.5,0.4,0.02,1.18,91,0.9,1.4,9,0,0,25,37,22,16,0,0,0,0,0,0,0,0,8.5,385,30000,54.3,28.5,4.8,3.6,1.5,0.6,1.2,1.2,0.1,1.4,0.35,0.1,0.1,0.02,26,58,79.5,5.82,0.88,5.36,0,SHCC
Soft coal,80,8,32.5,58.5,0.55,0.03,1.18,65,3,6,28,5,13,35,17,22,2,8,3,0,0,0,0,0,0,5.5,395,250,58.6,30.8,3.2,1.4,0.78,0.33,0.8,0.9,0.04,0.5,1.62,0.1,0.1,0.02,35,48,87,5,1.8,3.8,0.6,SHCC
